Mese,gtrends_inflation,gtrends_deflation,gtrends_index(1-0),aspettative_istat,inflation,std_gtrends_inflation,std_gtrend_index(1-0),MA(4)_inflation,ma(4)_std_gtrends_index(1-0),delta_gtrends_index,std_delta_gtrends_index,ma(4)_std_delta_gtrends_index,ma(4)_aspettative,infl,ma(4)_std_delta_gtrends_index
dic-08,31,16,31,-0.5695938,-0.14587892049595,0.471532087,0.471532087,-0.19977652149574,0.671188096,4,0.370859056,0.221530852,0.138695793,0.145693334,0.221530852
gen-09,42,5,42,-1.093092849,-0.14609203798401,1.350018527,1.350018527,-0.16383576287579,0.731084899,11,0.968171873,0.093535249,-0.310107125,0.127445158,0.093535249
feb-09,29,7,29,-1.437427799,0.21945866861741,0.311807279,0.311807279,-0.10897109572144,0.571360091,-13,-1.079757784,-0.141123358,-0.777120099,0.145309504,-0.141123358
mar-09,25,5,25,-1.374343215,0.07299270072996,-0.007642335,-0.007642335,0.00012010271685,0.531428889,-4,-0.311784162,-0.013127754,-1.118614416,0.036455176,-0.013127754
apr-09,19,5,19,-1.270342561,0.21881838074399,-0.486816757,-0.486816757,0.09129442802684,0.291841678,-6,-0.482444967,-0.22645376,-1.293801606,0.036428844,-0.22645376
mag-09,30,4,30,-1.375299307,0.21834061135370,0.391669683,0.391669683,0.18240259036127,0.052254467,11,0.968171873,-0.22645376,-1.36435322,0.036428844,-0.22645376
giu-09,30,6,30,-1.482959168,0.07262164124913,0.391669683,0.391669683,0.14569333351920,0.072220068,0,0.029537447,0.050870048,-1.375736063,0.01820773,0.050870048
lug-09,28,4,28,-2.426012471,0.00000000000000,0.231944876,0.231944876,0.12744515833670,0.132116871,-2,-0.141123358,0.093535249,-1.638653377,0.108630195,0.093535249
ago-09,17,4,17,-1.982722652,0.29027576197381,-0.646541564,-0.646541564,0.14530950364416,0.092185669,-11,-0.909096979,-0.013127754,-1.8167484,0.108551658,-0.013127754
set-09,18,2,18,-1.839858177,-0.21707670043416,-0.566679161,-0.566679161,0.03645517569719,-0.147401542,1,0.114867849,-0.22645376,-1.932888117,0.18070173,-0.22645376
ott-09,31,2,31,-1.740745456,0.07251631617118,0.471532087,0.471532087,0.03642884442771,-0.127435941,13,1.138832678,0.050870048,-1.997334689,0.216281961,0.050870048
nov-09,31,4,31,-1.538546,0.00000000000000,0.471532087,0.471532087,0.03642884442771,-0.067539138,0,0.029537447,0.093535249,-1.775468071,0.198049818,0.093535249
dic-09,25,1,25,-1.495111576,0.21739130434783,-0.007642335,-0.007642335,0.01820773002121,0.092185669,-6,-0.482444967,0.200198252,-1.653565303,0.179999277,0.200198252
gen-10,40,4,40,-1.183503656,0.14461315979749,1.19029372,1.19029372,0.10863019507912,0.531428889,15,1.309493482,0.49885466,-1.489476672,0.197390752,0.49885466
feb-10,24,1,24,-0.696402104,0.07220216606502,-0.087504739,-0.087504739,0.10855165755259,0.391669683,-16,-1.335748991,-0.119790757,-1.228390834,0.160995885,-0.119790757
mar-10,24,5,24,-0.538152516,0.28860028860033,-0.087504739,-0.087504739,0.18070172970267,0.251910477,0,0.029537447,-0.119790757,-0.978292463,0.089655934,-0.119790757
apr-10,20,1,20,-0.57201659,0.35971223021578,-0.406954354,-0.406954354,0.21628196116966,0.152082472,-4,-0.311784162,-0.077125556,-0.747518717,0.143189125,-0.077125556
